PRUID,PRName EN,PRName FR,Alpha Code,Std. Abbr.,Region
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,N.L.,Atlantic
11,Prince Edward Island,Île-du-Prince-Édouard,PE,P.E.I,Atlantic
12,Nova Scotia,Nouvelle-Écosse,NS,N.S.,Atlantic
13,New Brunswick,Nouveau-Brunswick,NB,N.B.,Atlantic
24,Quebec,Québec,QC,Que.,Quebec
35,Ontario,Ontario,ON,Ont.,Ontario
46,Manitoba,Manitoba,MB,Man.,Praries
47,Saskatchewan,Saskatchewan,SK,Sask.,Praries
48,Alberta,Alberta,AB,Alta.,Praries
59,British Columbia,Colombie-Britannique,BC,B.C.,British Columbia
60,Yukon,Yukon,YT,Y.T.,Territories
61,Northwest Territories,Territoires du Nord-Ouest,NT,N.W.T.,Territories
62,Nunavut,Nunavut,NU,Nvt.,Territories
